|Date: 30/04/21 |time:00:05 |COP:00999 |tmp1:0000227 |tmp2:0000227 |tmp3:0000227 |tmp4:0000227 |watt:00000000227
|Date: 30/04/21 |time:00:06 |COP:00999 |tmp1:0000235 |tmp2:0000235 |tmp3:0000235 |tmp4:0000235 |watt:00000000235
|Date: 30/04/21 |time:00:36 |COP:00999 |tmp1:0000246 |tmp2:0000246 |tmp3:0000246 |tmp4:0000246 |watt:00000000246
|Date: 30/04/21 |time:00:37 |COP:00999 |tmp1:0000257 |tmp2:0000257 |tmp3:0000257 |tmp4:0000257 |watt:00000000257
|Date: 30/04/21 |time:01:00 |COP:00999 |tmp1:0000237 |tmp2:0000237 |tmp3:0000237 |tmp4:0000237 |watt:00000000237
|Date: 30/04/21 |time:01:29 |COP:00999 |tmp1:0000245 |tmp2:0000245 |tmp3:0000245 |tmp4:0000245 |watt:00000000245
|Date: 30/04/21 |time:15:47 |COP:00999 |tmp1:0000248 |tmp2:0000248 |tmp3:0000248 |tmp4:0000248 |watt:00000000248
|Date: 30/04/21 |time:17:42 |COP:00241 |tmp1:0000241 |tmp2:0000241 |tmp3:0000241 |tmp4:0000241 |watt:00000000241
|Date: 30/04/21 |time:17:46 |COP:00232 |tmp1:0000232 |tmp2:0000232 |tmp3:0000232 |tmp4:0000232 |watt:00000000232
|Date: 30/04/21 |time:18:02 |COP:00266 |tmp1:0000266 |tmp2:0000266 |tmp3:0000266 |tmp4:0000266 |watt:00000000266
|Date: 30/04/21 |time:18:48 |COP:00282 |tmp1:0000282 |tmp2:0000282 |tmp3:0000282 |tmp4:0000282 |watt:00000000282
|Date: 30/04/21 |time:18:49 |COP:00244 |tmp1:0000244 |tmp2:0000244 |tmp3:0000244 |tmp4:0000244 |watt:00000000244
|Date: 30/04/21 |time:18:50 |COP:00250 |tmp1:0000250 |tmp2:0000250 |tmp3:0000250 |tmp4:0000250 |watt:00000000250
|Date: 30/04/21 |time:18:51 |COP:00241 |tmp1:0000241 |tmp2:0000241 |tmp3:0000241 |tmp4:0000241 |watt:00000000241
|Date: 30/04/21 |time:18:54 |COP:00220 |tmp1:0000220 |tmp2:0000220 |tmp3:0000220 |tmp4:0000220 |watt:00000000220
|Date: 30/04/21 |time:18:55 |COP:00259 |tmp1:0000259 |tmp2:0000259 |tmp3:0000259 |tmp4:0000259 |watt:00000000259
|Date: 30/04/21 |time:18:56 |COP:00257 |tmp1:0000257 |tmp2:0000257 |tmp3:0000257 |tmp4:0000257 |watt:00000000257
|Date: 30/04/21 |time:18:59 |COP:00238 |tmp1:0000238 |tmp2:0000238 |tmp3:0000238 |tmp4:0000238 |watt:00000000238
|Date: 30/04/21 |time:19:00 |COP:00261 |tmp1:0000261 |tmp2:0000261 |tmp3:0000261 |tmp4:0000261 |watt:00000000261
|Date: 30/04/21 |time:19:12 |COP:00254 |tmp1:0000254 |tmp2:0000254 |tmp3:0000254 |tmp4:0000254 |watt:00000000254
|Date: 30/04/21 |time:19:13 |COP:00243 |tmp1:0000243 |tmp2:0000243 |tmp3:0000243 |tmp4:0000243 |watt:00000000243
|Date: 30/04/21 |time:19:14 |COP:00281 |tmp1:0000281 |tmp2:0000281 |tmp3:0000281 |tmp4:0000281 |watt:00000000281
|Date: 30/04/21 |time:19:15 |COP:00220 |tmp1:0000220 |tmp2:0000220 |tmp3:0000220 |tmp4:0000220 |watt:00000000220
|Date: 30/04/21 |time:19:31 |COP:00271 |tmp1:0000271 |tmp2:0000271 |tmp3:0000271 |tmp4:0000271 |watt:00000000271
|Date: 30/04/21 |time:19:33 |COP:00257 |tmp1:0000257 |tmp2:0000257 |tmp3:0000257 |tmp4:0000257 |watt:00000000257
|Date: 30/04/21 |time:19:38 |COP:00218 |tmp1:0000218 |tmp2:0000218 |tmp3:0000218 |tmp4:0000218 |watt:00000000218
|Date: 30/04/21 |time:19:40 |COP:00270 |tmp1:0000270 |tmp2:0000270 |tmp3:0000270 |tmp4:0000270 |watt:00000000270
|Date: 30/04/21 |time:20:01 |COP:00279 |tmp1:0000279 |tmp2:0000279 |tmp3:0000279 |tmp4:0000279 |watt:00000000279
|Date: 30/04/21 |time:20:17 |COP:00257 |tmp1:0000257 |tmp2:0000257 |tmp3:0000257 |tmp4:0000257 |watt:00000000257
